StartNode,Relationship,EndNode,Id
869,GIVES,869e#jamiejohnson,14778
uwilliams,GOES_TO,2400,14779
jasonchen,GOES_TO,2355,14780
cjones,GETS,2844e#cjones,14781
matthewrandall,PRESENTS,2328,14782
jfisher,FOLLOWS,ortizkelly,14783
phelpsdennis,GETS,595e#phelpsdennis,14784
jonesjose,GETS,2377e#jonesjose,14785
1503,GIVES,1503e#espinozaeddie,14786
teresacastro,GETS,1240e#teresacastro,14787
1350,GIVES,1350e#bmarquez,14788
kelly57,FOLLOWS,garysmith,14789
christine16,GETS,297e#christine16,14790
brian57,GOES_TO,216,14791
brendafisher,GETS,1689e#brendafisher,14792
jasonnorton,FOLLOWS,vmiller,14793
angelabarron,GOES_TO,654,14794
zmoore,PRESENTS,1761,14795
danielward,FOLLOWS,walshjeffrey,14796
lisahall,FOLLOWS,annamoore,14797
joneschristina,FOLLOWS,williamramos,14798
qchambers,GETS,1926e#qchambers,14799
williamsrobert,GOES_TO,2411,14800
gravesshelley,GOES_TO,469,14801
bushangela,GETS,733e#bushangela,14802
alan18,GETS,1757e#alan18,14803
monicamarshall,GETS,1630e#monicamarshall,14804
johnsongregory,GOES_TO,294,14805
christina23,FOLLOWS,woodrobert,14806
332q2,ASKED_IN,332,14807
dspencer,GOES_TO,617,14808
christophercoleman,GOES_TO,1464,14809
320,GIVES,320e#merrittkatherine,14810
clarkchristina,FOLLOWS,andrea43,14811
2039,GIVES,2039e#torresdarrell,14812
sarah06,GOES_TO,2445,14813
andrew53,GETS,126e#andrew53,14814
1520,GIVES,1520e#steven56,14815
wferguson,GOES_TO,950,14816
johnsonrandy,GETS,2050e#johnsonrandy,14817
annette18,GETS,2159e#annette18,14818
wallscott,GOES_TO,181,14819
1506,GIVES,1506e#rgonzales,14820
davisjoanne,FOLLOWS,walshjeffrey,14821
686,GIVES,686e#graykelly,14822
richardwagner,GOES_TO,560,14823
reyeslori,GOES_TO,819,14824
alex56,PRESENTS,223,14825
2850,GIVES,2850e#angelabrown,14826
howellcharles,GETS,315e#howellcharles,14827
derrick38,GOES_TO,1505,14828
erik36,GOES_TO,2413,14829
patriciagomez,FOLLOWS,josephandrea,14830
1372,GIVES,1372e#yfranklin,14831
donaldunderwood,GETS,239e#donaldunderwood,14832
891,GIVES,891e#wesleymoon,14833
2921,GIVES,2921e#lewisemma,14834
fullerrebecca,GETS,263e#fullerrebecca,14835
lisahall,GETS,647e#lisahall,14836
2280,GIVES,2280e#lisamontes,14837
1503,GIVES,1503e#jeffreysmith,14838
vjones,HOSTS,288,14839
1835,GIVES,1835e#ywalter,14840
david27,GETS,230e#david27,14841
brittneywhitaker,GETS,2469e#brittneywhitaker,14842
ytorres,GOES_TO,119,14843
273,GIVES,273e#sarah98,14844
steven04,GETS,906e#steven04,14845
bradleywest,GETS,1348e#bradleywest,14846
1565,GIVES,1565e#xwilliams,14847
katrina69,FOLLOWS,ashleyjohnson,14848
norrisjames,PRESENTS,2525,14849
sethhendricks,GETS,2423e#sethhendricks,14850
stephendickson,FOLLOWS,rshaw,14851
hayleyglover,GOES_TO,2220,14852
2937,GIVES,2937e#hmckee,14853
leemelissa,GOES_TO,1505,14854
dennisallen,FOLLOWS,danielle18,14855
hayeswilliam,GOES_TO,1041,14856
bmarquez,GOES_TO,1031,14857
denise99,GOES_TO,2034,14858
karla99,GOES_TO,1935,14859
patriciacain,GETS,629e#patriciacain,14860
1701,GIVES,1701e#cameronatkins,14861
karen37,GOES_TO,2304,14862
1964,GIVES,1964e#qjones,14863
958,IN_TYPE,Roundtable,14864
caitlynwood,GOES_TO,1417,14865
caroline13,GETS,1224e#caroline13,14866
youngmichael,GETS,2856e#youngmichael,14867
jonesjohn,GOES_TO,458,14868
1429,GIVES,1429e#david85,14869
ywall,GETS,1527e#ywall,14870
1218,GIVES,1218e#hayesseth,14871
cameron45,FOLLOWS,smithroger,14872
bwatts,GETS,1700e#bwatts,14873
scott24,GETS,481e#scott24,14874
ethan05,GETS,2151e#ethan05,14875
amandarobinson,GOES_TO,1161,14876
lestertamara,PRESENTS,1341,14877
andre24,GOES_TO,2244,14878
taylorpamela,GOES_TO,756,14879
1621,IN_TYPE,Masterclass,14880
tanner41,GOES_TO,1110,14881
kylesantana,GETS,2202e#kylesantana,14882
gvalencia,PRESENTS,1530,14883
2021q2,ASKED_IN,2021,14884
okim,GETS,2246e#okim,14885
1349,GIVES,1349e#sandrahall,14886
matthew57,GOES_TO,696,14887
2203,IN_TYPE,Talk,14888
2095,GIVES,2095e#wsmith,14889
239,IN_TYPE,Talk,14890
hughesjohn,GETS,154e#hughesjohn,14891
audrey57,GOES_TO,1741,14892
dwayne50,GETS,1726e#dwayne50,14893
996,GIVES,996e#dyerhaley,14894
2732,GIVES,2732e#ryan49,14895
mikesexton,FOLLOWS,andrew85,14896
cheryl09,FOLLOWS,vmcfarland,14897
449,GIVES,449e#james48,14898
321,IN_TYPE,Roundtable,14899
henrylori,GOES_TO,1389,14900
wendyrobertson,GOES_TO,2607,14901
412,GIVES,412e#ramseymegan,14902
18,GIVES,18e#rstewart,14903
sarah78,PRESENTS,1167,14904
2871,GIVES,2871e#hendersondennis,14905
chris15,GOES_TO,653,14906
1924,GIVES,1924e#trichardson,14907
karen56,GOES_TO,1621,14908
brent23,GETS,2492e#brent23,14909
lori94,GOES_TO,2944,14910
karaortiz,GETS,1210e#karaortiz,14911
leonardchristopher,GOES_TO,191,14912
bryan44,GETS,1990e#bryan44,14913
carolyn54,GOES_TO,296,14914
962,GIVES,962e#jking,14915
smcpherson,GOES_TO,623,14916
utate,GETS,2773e#utate,14917
angela48,GOES_TO,2025,14918
mckeemaxwell,GOES_TO,467,14919
bookerlisa,GOES_TO,2801,14920
lryan,GETS,1629e#lryan,14921
pachecohannah,FOLLOWS,yingram,14922
2201,GIVES,2201e#bakerbrittany,14923
2408,GIVES,2408e#skennedy,14924
brownkatie,GOES_TO,2628,14925
tiffanymann,FOLLOWS,reyesjohn,14926
1310,GIVES,1310e#carolyngarner,14927
lisanewman,GOES_TO,41,14928
807,GIVES,807e#owelch,14929
sean19,FOLLOWS,larsonandrea,14930
704,GIVES,704e#ashley26,14931
royfarley,GETS,2831e#royfarley,14932
cynthiasmith,GETS,1390e#cynthiasmith,14933
samueltaylor,GETS,2862e#samueltaylor,14934
2888,GIVES,2888e#xmartinez,14935
kellyray,GETS,764e#kellyray,14936
1075,GIVES,1075e#nthomas,14937
916,GIVES,916e#jeremy77,14938
2300,GIVES,2300e#devinthompson,14939
433,GIVES,433e#scott15,14940
nkirk,FOLLOWS,ucooper,14941
wrobinson,FOLLOWS,jennifer96,14942
1066,GIVES,1066e#jimmy64,14943
2419,GIVES,2419e#nthomas,14944
2676,GIVES,2676e#sarah42,14945
327,GIVES,327e#mbailey,14946
andrewthomas,GETS,422e#andrewthomas,14947
smarshall,GOES_TO,2595,14948
beckerbrenda,GOES_TO,2461,14949
valeriewelch,GETS,1038e#valeriewelch,14950
2047,GIVES,2047e#nataliethomas,14951
james47,GETS,1432e#james47,14952
billy07,GETS,15e#billy07,14953
1725,GIVES,1725e#david82,14954
nguyentimothy,FOLLOWS,lopezandrew,14955
1362,GIVES,1362e#sean64,14956
michaelwalton,GETS,1022e#michaelwalton,14957
anthonymorris,FOLLOWS,brownzachary,14958
1245,GIVES,1245e#kennethspencer,14959
500,GIVES,500e#martinezfrederick,14960
glee,PRESENTS,2654,14961
2525,GIVES,2525e#fwatson,14962
andreajackson,FOLLOWS,jjordan,14963
2814,GIVES,2814e#hickspamela,14964
1480,GIVES,1480e#alexandriamartin,14965
529,GIVES,529e#rfisher,14966
wthompson,GETS,1197e#wthompson,14967
youngaustin,GOES_TO,2091,14968
2094,GIVES,2094e#pjones,14969
derek09,GOES_TO,2210,14970
ubrown,GOES_TO,8,14971
2309,GIVES,2309e#uarellano,14972
steelechristian,FOLLOWS,reyesjohn,14973
1242,GIVES,1242e#karenweeks,14974
dillon57,FOLLOWS,ehopkins,14975
vpena,FOLLOWS,bryandawson,14976
2026,GIVES,2026e#joneskevin,14977
michelle43,FOLLOWS,brendan44,14978
anthony37,GOES_TO,2106,14979
1569,GIVES,1569e#clifford69,14980
tami18,GOES_TO,2207,14981
1905,GIVES,1905e#travis78,14982
emilyhuff,FOLLOWS,katherinegarrison,14983
katie57,FOLLOWS,michelle08,14984
deborahvelazquez,GETS,251e#deborahvelazquez,14985
kroberts,GOES_TO,2896,14986
alisonrodriguez,GOES_TO,8,14987
598,GIVES,598e#lisa25,14988
wjames,GETS,1752e#wjames,14989
harrissamantha,GOES_TO,1730,14990
millerandrea,PRESENTS,1105,14991
shieldskeith,GOES_TO,32,14992
19,GIVES,19e#maryhernandez,14993
91,GIVES,91e#cheryl90,14994
2404q2,ASKED_IN,2404,14995
dweber,GETS,1879e#dweber,14996
richardharris,GETS,1899e#richardharris,14997
christophercoleman,GETS,24e#christophercoleman,14998
cowanpaul,GOES_TO,2528,14999
uharris,GOES_TO,1669,15000
nicole14,GOES_TO,2039,15001
christinachang,GOES_TO,2447,15002
ujohnson,GETS,1471e#ujohnson,15003
266,GIVES,266e#aanderson,15004
colemanrobert,GETS,2018e#colemanrobert,15005
jessica76,GETS,230e#jessica76,15006
1859,GIVES,1859e#cherryvictoria,15007
2627,GIVES,2627e#sgilbert,15008
923,GIVES,923e#bgrant,15009
michaelwhite,GOES_TO,662,15010
1528,GIVES,1528e#christian05,15011
731,GIVES,731e#xsmith,15012
pamela22,GETS,317e#pamela22,15013
amandalynn,GETS,1322e#amandalynn,15014
1633,GIVES,1633e#amandaleach,15015
justin29,GETS,2252e#justin29,15016
2299,GIVES,2299e#kellie82,15017
2263,GIVES,2263e#michellerodriguez,15018
chenaudrey,GOES_TO,888,15019
2680,GIVES,2680e#hillstefanie,15020
christinegarcia,GETS,1730e#christinegarcia,15021
2077q3,ASKED_IN,2077,15022
weaton,GETS,1244e#weaton,15023
vford,GOES_TO,927,15024
kenneth13,GOES_TO,1682,15025
russelljordan,GETS,1777e#russelljordan,15026
annettepeterson,GOES_TO,2163,15027
gloverkurt,GOES_TO,949,15028
bobby20,HOSTS,1821,15029
2829,GIVES,2829e#ngonzalez,15030
davidhernandez,GOES_TO,2696,15031
edward34,GOES_TO,1232,15032
1117,GIVES,1117e#jeffreyflores,15033
wavery,GETS,975e#wavery,15034
wilsoncharlotte,GETS,1572e#wilsoncharlotte,15035
morriskathryn,GOES_TO,2190,15036
682,GIVES,682e#colleenleblanc,15037
2438,IN_TYPE,Roundtable,15038
stephaniegarcia,GETS,11e#stephaniegarcia,15039
2068,GIVES,2068e#grahammichele,15040
randythompson,GETS,596e#randythompson,15041
2900,GIVES,2900e#erinsmith,15042
rachel38,GETS,897e#rachel38,15043
1172,GIVES,1172e#ucantu,15044
anthony00,FOLLOWS,gatesaustin,15045
grahamlinda,GOES_TO,343,15046
466q3,ASKED_IN,466,15047
glennfoster,GETS,440e#glennfoster,15048
jimenezgerald,FOLLOWS,angela69,15049
beststacey,GOES_TO,783,15050
mooneyfred,FOLLOWS,lopezandrew,15051
1239,GIVES,1239e#kbenson,15052
acostajessica,GETS,24e#acostajessica,15053
2157,GIVES,2157e#russelltiffany,15054
1863,GIVES,1863e#clewis,15055
edwardburke,GOES_TO,1900,15056
walkereric,GETS,795e#walkereric,15057
collinsstephanie,GOES_TO,275,15058
zachary76,PRESENTS,1434,15059
khorton,GOES_TO,724,15060
1942,GIVES,1942e#kelly04,15061
279,GIVES,279e#cherryvictoria,15062
lryan,GETS,14e#lryan,15063
wlee,GOES_TO,2609,15064
stephanie86,FOLLOWS,anna33,15065
wattstracey,GOES_TO,270,15066
mitchell02,GOES_TO,485,15067
anthony97,GOES_TO,772,15068
franciscobaxter,GOES_TO,2944,15069
joshua28,GETS,542e#joshua28,15070
980,GIVES,980e#awarner,15071
mccartydavid,GOES_TO,459,15072
1623,GIVES,1623e#xbarry,15073
emclaughlin,GOES_TO,372,15074
angela75,GOES_TO,600,15075
kelli84,GOES_TO,878,15076
bradleymcgrath,GOES_TO,2421,15077
1498,GIVES,1498e#vpena,15078
cookemichele,GETS,2479e#cookemichele,15079
sean64,GOES_TO,1362,15080
carolynlopez,GOES_TO,1358,15081
ogeorge,GETS,293e#ogeorge,15082
1978,GIVES,1978e#codytran,15083
reginald72,FOLLOWS,aguirrekevin,15084
vwilkerson,GETS,1226e#vwilkerson,15085
cody99,FOLLOWS,xcontreras,15086
olsenshaun,GETS,2014e#olsenshaun,15087
807,GIVES,807e#browncarrie,15088
966,GIVES,966e#georgefoster,15089
2714,GIVES,2714e#jeffreylewis,15090
75,GIVES,75e#alexahensley,15091
michelemiller,GOES_TO,2483,15092
david23,GETS,2485e#david23,15093
ewingjennifer,GOES_TO,1775,15094
beankellie,FOLLOWS,natalie81,15095
kellyray,FOLLOWS,chenemma,15096
hmunoz,PRESENTS,2852,15097
vwest,GOES_TO,2115,15098
sheri27,FOLLOWS,steven76,15099
william41,GOES_TO,2261,15100
967,GIVES,967e#ericfowler,15101
catherineross,GOES_TO,318,15102
brooksmelinda,GETS,1273e#brooksmelinda,15103
lopezjessica,GOES_TO,2367,15104
243q3,ASKED_IN,243,15105
johnmurray,PRESENTS,1968,15106
2543,GIVES,2543e#barkercheryl,15107
james75,GETS,527e#james75,15108
437,GIVES,437e#ghoward,15109
julietaylor,GOES_TO,360,15110
pmcintosh,GETS,500e#pmcintosh,15111
christinajohnson,FOLLOWS,agoodwin,15112
fconley,FOLLOWS,youngcynthia,15113
2943,GIVES,2943e#blakeemily,15114
112,GIVES,112e#colemanrobert,15115
scott78,FOLLOWS,angelanguyen,15116
edwardlee,GETS,472e#edwardlee,15117
tina11,GOES_TO,635,15118
1671,GIVES,1671e#samanthasparks,15119
801,GIVES,801e#davidcardenas,15120
danielsjeremy,FOLLOWS,deborah87,15121
kristinadams,PRESENTS,935,15122
iellis,GOES_TO,149,15123
patricia76,GETS,1575e#patricia76,15124
amyglenn,FOLLOWS,mjohnson,15125
jeanne49,GETS,2438e#jeanne49,15126
natalie45,GETS,1332e#natalie45,15127
michael06,GETS,2202e#michael06,15128
jacobjohnston,GETS,1348e#jacobjohnston,15129
kenneth11,GETS,2370e#kenneth11,15130
bevans,GOES_TO,1932,15131
william59,GOES_TO,328,15132
gerald33,GOES_TO,2271,15133
csilva,FOLLOWS,gburton,15134
obarry,GOES_TO,866,15135
fthornton,GETS,2569e#fthornton,15136
vanessadeleon,GETS,571e#vanessadeleon,15137
2114,GIVES,2114e#randallmichael,15138
combstina,GOES_TO,861,15139
2500,GIVES,2500e#john77,15140
carolinedaniel,FOLLOWS,williamramos,15141
ereyes,GETS,1225e#ereyes,15142
victoria15,FOLLOWS,amy29,15143
jillhorton,FOLLOWS,cartermichael,15144
anthonymarquez,GOES_TO,2342,15145
stuartmichele,PRESENTS,2235,15146
748,GIVES,748e#sheilarivera,15147
plong,GETS,992e#plong,15148
allenelizabeth,GOES_TO,299,15149
lisa23,GETS,1493e#lisa23,15150
riceroberto,GETS,1688e#riceroberto,15151
ugomez,GOES_TO,1347,15152
2970,GIVES,2970e#jacqueline81,15153
joshuabowman,GOES_TO,2222,15154
tonyaschwartz,FOLLOWS,nlee,15155
ashley66,HOSTS,1311,15156
yramirez,GETS,2735e#yramirez,15157
anthonymoore,GETS,2524e#anthonymoore,15158
james79,FOLLOWS,deborah87,15159
337,GIVES,337e#foxjohn,15160
michelle61,PRESENTS,1881,15161
michael33,GOES_TO,398,15162
ritacrane,GETS,1975e#ritacrane,15163
shane61,GETS,2643e#shane61,15164
christopherbenitez,PRESENTS,2205,15165
390,GIVES,390e#donaldgibson,15166
emartinez,GOES_TO,386,15167
jillbennett,GOES_TO,645,15168
tammysosa,FOLLOWS,vmartin,15169
iyoung,GETS,2960e#iyoung,15170
margaretharris,FOLLOWS,scottjenny,15171
joshua37,GOES_TO,87,15172
120,GIVES,120e#ryan58,15173
1329,GIVES,1329e#martinezaaron,15174
rrobinson,GETS,2708e#rrobinson,15175
1877,IN_TYPE,Workshop,15176
jason41,GOES_TO,2929,15177
501,GIVES,501e#qlawrence,15178
kenneth36,GETS,206e#kenneth36,15179
241,GIVES,241e#alucas,15180
871,GIVES,871e#diana93,15181
1934,GIVES,1934e#wesleyblake,15182
1409,GIVES,1409e#yvelasquez,15183
jjones,GETS,2081e#jjones,15184
justin08,GETS,1112e#justin08,15185
imaldonado,GETS,1623e#imaldonado,15186
connerlori,GOES_TO,478,15187
caleb93,GETS,1738e#caleb93,15188
martinezmichael,GETS,1264e#martinezmichael,15189
justinsmith,GOES_TO,591,15190
craig53,GOES_TO,1442,15191
chamberspatrick,GETS,2714e#chamberspatrick,15192
2428,GIVES,2428e#michaelperry,15193
319,IN_TYPE,Masterclass,15194
559,GIVES,559e#patriciacain,15195
beckerchristine,GETS,1341e#beckerchristine,15196
hwatson,GETS,576e#hwatson,15197
jonessean,GOES_TO,2398,15198
kimberlymartinez,FOLLOWS,ginajones,15199
adrianmiller,GOES_TO,2243,15200
447,IN_TYPE,Debate,15201
jennifer67,FOLLOWS,walkerjason,15202
2859,GIVES,2859e#fvargas,15203
arthurconner,GETS,2546e#arthurconner,15204
2709,GIVES,2709e#connie28,15205
mcclainallison,GETS,1377e#mcclainallison,15206
reedjose,GETS,1044e#reedjose,15207
640,GIVES,640e#rivascharles,15208
smithjanet,GETS,2759e#smithjanet,15209
pmcintosh,GETS,2412e#pmcintosh,15210
jacob65,GOES_TO,1853,15211
1927,GIVES,1927e#jellis,15212
david22,GETS,1943e#david22,15213
paul65,GETS,1069e#paul65,15214
cheryl14,GOES_TO,1542,15215
1763,GIVES,1763e#garciarhonda,15216
brownandrew,GETS,1645e#brownandrew,15217
ljacobs,GETS,2998e#ljacobs,15218
larajustin,GOES_TO,1716,15219
1856,GIVES,1856e#browncynthia,15220
thopkins,GETS,935e#thopkins,15221
989,GIVES,989e#brandon78,15222
kara36,GETS,1277e#kara36,15223
george74,FOLLOWS,todonnell,15224
spencerjennifer,GETS,1929e#spencerjennifer,15225
1489,GIVES,1489e#joseph29,15226
263,GIVES,263e#klewis,15227
westnatalie,GETS,1840e#westnatalie,15228
ulynn,GOES_TO,2053,15229
barnescolin,GOES_TO,2259,15230
shannon90,GOES_TO,1015,15231
lawrencethomas,GOES_TO,1725,15232
2463q2,ASKED_IN,2463,15233
2140,GIVES,2140e#charlesnguyen,15234
crodriguez,GETS,2294e#crodriguez,15235
pamelasanford,GETS,2271e#pamelasanford,15236
robertpatterson,GOES_TO,2437,15237
handerson,HOSTS,957,15238
michaelcox,GETS,345e#michaelcox,15239
ubrown,GETS,360e#ubrown,15240
millererin,GOES_TO,1820,15241
2921,GIVES,2921e#ydunn,15242
david18,PRESENTS,38,15243
836,IN_TYPE,Roundtable,15244
909,GIVES,909e#vbrown,15245
mark70,GOES_TO,2928,15246
miguel48,GETS,2215e#miguel48,15247
tylertodd,GOES_TO,27,15248
amandaramos,GETS,2113e#amandaramos,15249
2051,GIVES,2051e#ucooper,15250
1980,GIVES,1980e#thorntondonald,15251
carpentertina,GOES_TO,2979,15252
benjamin95,GOES_TO,1956,15253
jlewis,GETS,2362e#jlewis,15254
thompsonsandra,FOLLOWS,ehopkins,15255
nicholascole,GOES_TO,676,15256
17,GIVES,17e#djordan,15257
2025,GIVES,2025e#mckenzie89,15258
cobbjohn,GOES_TO,1737,15259
margaret39,GOES_TO,1185,15260
ujohnson,GETS,472e#ujohnson,15261
948,GIVES,948e#alexander86,15262
33,GIVES,33e#christopherwalker,15263
hroberts,GOES_TO,2039,15264
andrealarson,GETS,1647e#andrealarson,15265
danny03,GOES_TO,2330,15266
rachel49,FOLLOWS,johnwang,15267
shannon27,PRESENTS,2594,15268
brownmark,FOLLOWS,bryan22,15269
stephenwhitney,GETS,2106e#stephenwhitney,15270
jensenmary,GETS,2990e#jensenmary,15271
oharris,GETS,1249e#oharris,15272
johnsonrandy,GOES_TO,1471,15273
lauren76,GETS,466e#lauren76,15274
kwatson,GETS,427e#kwatson,15275
kimsarah,GOES_TO,588,15276
ashley26,FOLLOWS,katiedurham,15277
scottmclaughlin,GOES_TO,2807,15278
gtaylor,PRESENTS,1096,15279
linda38,FOLLOWS,saraprice,15280
thaynes,FOLLOWS,nataliewatson,15281
2204,GIVES,2204e#dustin00,15282
1006,GIVES,1006e#singletonkristi,15283
jeremyanderson,GOES_TO,1396,15284
1986,GIVES,1986e#chelsea48,15285
woodmelissa,GOES_TO,36,15286
ashleyjohnson,HOSTS,171,15287
ginanunez,GOES_TO,170,15288
748,GIVES,748e#lisamckinney,15289
1786,IN_TYPE,Masterclass,15290
yjackson,GETS,1490e#yjackson,15291
martinjamie,FOLLOWS,yjones,15292
reedcheryl,GOES_TO,1817,15293
334,GIVES,334e#contreraschad,15294
joneskimberly,GETS,629e#joneskimberly,15295
680,GIVES,680e#loweryann,15296
284,GIVES,284e#fdavis,15297
karen50,FOLLOWS,donaldarias,15298
451,GIVES,451e#david43,15299
jared90,GETS,164e#jared90,15300
1803,GIVES,1803e#dianagarrison,15301
dbowers,GOES_TO,648,15302
griffintyler,FOLLOWS,mendezthomas,15303
kayla19,FOLLOWS,thomashudson,15304
iansavage,GOES_TO,1644,15305
logancoffey,GETS,376e#logancoffey,15306
gavin67,GOES_TO,55,15307
qconner,PRESENTS,947,15308
christinewong,GOES_TO,1497,15309
2297,GIVES,2297e#hickstommy,15310
nicholedyer,GOES_TO,345,15311
deborahvelazquez,GOES_TO,2735,15312
heatherjohnson,PRESENTS,1713,15313
calvin46,GOES_TO,461,15314
850,GIVES,850e#vsimmons,15315
michellegarcia,GOES_TO,783,15316
davidbecker,GETS,402e#davidbecker,15317
timothy92,PRESENTS,1921,15318
crystal38,GOES_TO,1303,15319
2729q2,ASKED_IN,2729,15320
gregory89,GOES_TO,549,15321
163,GIVES,163e#john30,15322
vegacraig,GOES_TO,1016,15323
2904,GIVES,2904e#riveramatthew,15324
1752,GIVES,1752e#adrianmiller,15325
nporter,FOLLOWS,gstrong,15326
cdougherty,FOLLOWS,lindatorres,15327
1159,GIVES,1159e#evansgary,15328
kristin04,GOES_TO,1571,15329
440,GIVES,440e#jacksonallen,15330
martinjennifer,FOLLOWS,paul94,15331
michaelreed,GETS,694e#michaelreed,15332
ymorales,PRESENTS,102,15333
361,GIVES,361e#grobinson,15334
raycarter,GETS,1251e#raycarter,15335
808,GIVES,808e#bakerkathleen,15336
wendychavez,GETS,834e#wendychavez,15337
pbradley,FOLLOWS,brownandrew,15338
hollandheather,GETS,1248e#hollandheather,15339
204,GIVES,204e#mhawkins,15340
2390,IN_TYPE,Debate,15341
brandon72,FOLLOWS,crosbyjames,15342
katiecontreras,GETS,2526e#katiecontreras,15343
2359,GIVES,2359e#nicholsonjacob,15344
jenniferwilliams,GETS,1669e#jenniferwilliams,15345
stacy82,GETS,2671e#stacy82,15346
2512,GIVES,2512e#kristinaduncan,15347
yjackson,GETS,2368e#yjackson,15348
1817,GIVES,1817e#stuartgregory,15349
ucase,GOES_TO,1944,15350
kenneth98,GETS,1673e#kenneth98,15351
554,GIVES,554e#rebecca98,15352
wwilliamson,GOES_TO,1978,15353
patrickrobertson,FOLLOWS,kellymiller,15354
amy71,FOLLOWS,neallaura,15355
robertclark,PRESENTS,2317,15356
anthony47,FOLLOWS,brandimoore,15357
laurenjohnson,GOES_TO,1659,15358
kellyjackson,GETS,1915e#kellyjackson,15359
2599,GIVES,2599e#cochrankaylee,15360
ugreen,GETS,2158e#ugreen,15361
1887,GIVES,1887e#jessica99,15362
latoya04,GOES_TO,2151,15363
davidsonashlee,GETS,681e#davidsonashlee,15364
shelby81,GETS,1707e#shelby81,15365
patrickmiller,GETS,1235e#patrickmiller,15366
makayla20,FOLLOWS,susan06,15367
dylan14,GETS,1034e#dylan14,15368
larry85,GETS,2041e#larry85,15369
hamiltonautumn,GETS,692e#hamiltonautumn,15370
brownwilliam,FOLLOWS,jesus51,15371
hoffmanpaul,GETS,1212e#hoffmanpaul,15372
george50,GOES_TO,549,15373
2336,GIVES,2336e#belljacob,15374
ylawrence,GOES_TO,397,15375
smithashley,GETS,754e#smithashley,15376
iward,GOES_TO,2943,15377
1033,GIVES,1033e#nicole30,15378
john74,FOLLOWS,andrea21,15379
anthonyanderson,GOES_TO,2299,15380
2719,IN_TYPE,Talk,15381
samanthawright,GOES_TO,1980,15382
1483,GIVES,1483e#vmorrow,15383
2535,GIVES,2535e#derrick17,15384
davisgloria,GETS,2622e#davisgloria,15385
rebeccahoward,GOES_TO,1923,15386
437,GIVES,437e#fward,15387
daniel16,GOES_TO,2081,15388
richardmadden,PRESENTS,1120,15389
cookemichele,PRESENTS,1689,15390
1017,IN_TYPE,Workshop,15391
anthony68,GETS,1689e#anthony68,15392
edwardslee,FOLLOWS,sawyerdonald,15393
vdavies,GOES_TO,2848,15394
mcdonaldkeith,GETS,2816e#mcdonaldkeith,15395
bevans,GOES_TO,353,15396
2074,GIVES,2074e#gfrazier,15397
katiewaters,GETS,2523e#katiewaters,15398
onunez,GETS,572e#onunez,15399
justin16,GETS,2809e#justin16,15400
holmeshoward,GOES_TO,153,15401
abigailperez,GETS,2402e#abigailperez,15402
jessicamarsh,FOLLOWS,craigalvarado,15403
2564,GIVES,2564e#anthony65,15404
rwright,FOLLOWS,vmcfarland,15405
thomas43,FOLLOWS,xgray,15406
stacycarter,FOLLOWS,maurice50,15407
dustin00,GETS,2808e#dustin00,15408
annettepeterson,PRESENTS,1898,15409
jasonmontgomery,GETS,2672e#jasonmontgomery,15410
michaelgallegos,FOLLOWS,melendezrobert,15411
2724,GIVES,2724e#ismith,15412
1684,GIVES,1684e#dustin00,15413
460,GIVES,460e#bushangela,15414
kevin22,GOES_TO,423,15415
2964,GIVES,2964e#brendandiaz,15416
blake03,GOES_TO,2032,15417
lwheeler,GOES_TO,2037,15418
2948,GIVES,2948e#danielsstacy,15419
nclark,GOES_TO,2419,15420
jamesmacias,GETS,489e#jamesmacias,15421
thompsonsandra,PRESENTS,80,15422
1242,GIVES,1242e#johnwoods,15423
patrickperez,GETS,2548e#patrickperez,15424
gabrielwelch,GOES_TO,2663,15425
228,GIVES,228e#kellyhernandez,15426
1155,GIVES,1155e#jsoto,15427
rwalker,GETS,2456e#rwalker,15428
lisajefferson,HOSTS,676,15429
roberthuffman,GOES_TO,198,15430
14,GIVES,14e#richardsonzachary,15431
607,GIVES,607e#jason56,15432
youngmelissa,GOES_TO,316,15433
2032,GIVES,2032e#vcurry,15434
yrivera,GETS,2362e#yrivera,15435
reyeslori,GOES_TO,1674,15436
223,GIVES,223e#frank81,15437
nicholaskoch,GETS,1228e#nicholaskoch,15438
masseyjason,GOES_TO,2696,15439
993,GIVES,993e#matthewsmith,15440
1910,GIVES,1910e#moodybilly,15441
703,GIVES,703e#melodythomas,15442
crystal38,GETS,2538e#crystal38,15443
johnsongary,FOLLOWS,pagejennifer,15444
holly75,GETS,2007e#holly75,15445
1429,GIVES,1429e#wendyallen,15446
russelljudy,GOES_TO,1290,15447
derek48,GOES_TO,471,15448
robinpatton,GETS,941e#robinpatton,15449
williammooney,GETS,1842e#williammooney,15450
carrolljennifer,HOSTS,2704,15451
maryhernandez,GETS,1303e#maryhernandez,15452
silvalindsay,FOLLOWS,meyerjohn,15453
linda38,GOES_TO,254,15454
2756,GIVES,2756e#graykimberly,15455
alanhurst,GOES_TO,1979,15456
thomasperez,PRESENTS,1457,15457
2531,GIVES,2531e#perezmatthew,15458
michael62,GOES_TO,1514,15459
rebeccaclarke,GETS,1957e#rebeccaclarke,15460
michael28,GETS,250e#michael28,15461
tgardner,GOES_TO,983,15462
webbkristina,GOES_TO,1580,15463
1262,GIVES,1262e#oobrien,15464
151,GIVES,151e#atkinsoncharles,15465
